DATE,VALUE
2012-06-01,52.9
2012-07-02,52.5
2012-07-24,51.8
2012-08-01,51.4
2012-08-23,51.9
2012-09-04,51.5
2012-09-20,51.5
2012-10-01,51.1
2012-10-24,51.3
2012-11-01,51.0
2012-11-21,52.4
2012-12-03,52.8
2012-12-14,54.2
2013-01-02,54.0
2013-01-24,56.1
2013-02-01,55.8
2013-02-21,55.2
2013-03-01,54.3
2013-03-21,54.9
2013-04-01,54.6
2013-04-23,52.0
2013-05-01,52.1
2013-05-23,52.0
2013-06-03,52.3
2013-06-20,52.2
2013-07-01,51.9
2013-07-24,53.2
2013-08-01,53.7
2013-08-22,53.9
2013-09-03,53.1
2013-09-23,52.8
2013-10-01,52.8
2013-10-24,51.1
2013-11-01,51.8
2013-11-21,54.3
2013-12-02,54.7
2013-12-16,54.4
2014-01-02,55.0
2014-01-23,53.7
2014-02-03,53.7
2014-02-20,56.7
2014-03-03,57.1
2014-03-24,55.5
2014-04-01,55.5
2014-04-23,55.4
2014-05-01,55.4
2014-05-22,56.2
2014-06-02,56.4
2014-06-23,57.5
2014-07-01,57.3
2014-07-24,56.3
2014-08-01,55.8
2014-08-21,58.0
2014-09-02,57.9
2014-09-23,57.9
2014-10-01,57.5
2014-10-23,56.2
2014-11-03,55.9
2014-11-20,54.7
2014-12-01,54.8
2014-12-16,53.7
2015-01-02,53.9
2015-01-23,53.7
2015-02-02,53.9
2015-02-20,54.3
2015-03-02,55.1
2015-03-24,55.3
2015-04-01,55.7
2015-04-23,54.2
2015-05-01,54.1
2015-05-21,53.8
2015-06-01,54.0
2015-06-23,53.4
2015-07-01,53.6
2015-07-24,53.8
2015-08-03,53.8
2015-08-21,52.9
2015-09-01,53.0
2015-09-23,53.0
2015-10-01,53.1
2015-10-23,54.0
2015-11-02,54.1
2015-11-23,52.6
2015-12-01,52.8
2015-12-16,51.3
2016-01-04,51.2
2016-01-22,52.7
2016-02-01,52.4
2016-02-22,51.0
2016-03-01,51.3
2016-03-22,51.4
2016-04-01,51.5
2016-04-22,50.8
2016-05-02,50.8
2016-05-23,50.5
2016-06-01,50.7
2016-06-23,51.4
2016-07-01,51.3
2016-07-22,52.9
2016-08-01,52.9
2016-08-23,52.1
2016-09-01,52.0
2016-09-23,51.4
2016-10-03,51.5
2016-10-24,53.2
2016-11-01,53.4
2016-11-23,53.9
2016-12-01,54.1
2016-12-15,54.2
2017-01-03,54.3
2017-01-24,55.1
2017-02-01,55.0
2017-02-21,54.3
2017-03-01,54.2
2017-03-24,53.4
2017-04-03,53.3
2017-04-21,52.8
2017-05-01,52.8
2017-05-23,52.5
2017-06-01,52.7
2017-06-23,52.1
2017-07-03,52.0
2017-07-24,53.2
2017-08-01,53.3
2017-08-23,52.5
2017-09-01,52.8
2017-09-22,53.0
2017-10-02,53.1
2017-10-24,54.5
2017-11-01,54.6
2017-11-24,53.8
2017-12-01,53.9
2017-12-14,55.0
2018-01-02,55.1
2018-01-24,55.5
2018-02-01,55.5
2018-02-21,55.9
2018-03-01,55.3
2018-03-22,55.7
2018-04-02,55.6
2018-04-23,56.5
2018-05-01,56.5
2018-05-23,56.6
2018-06-01,56.4
